"word";"count"
"one";411764
"zero";264975
"nine";250430
"two";192644
"eight";125285
"s";116710
"five";115789
"three";114775
"four";108182
"six";102145
"seven";99683
"also";44358
"first";28810
"can";25519
"many";24096
"new";23770
"used";22737
"american";20477
"time";20412
"see";19206
"may";19115
"world";17949
"b";17516
"d";17236
"however";15861
"years";14935
"states";14916
"people";14696
"war";14629
"united";14494
"known";14437
"called";14151
"use";14011
"th";13380
"system";13296
"often";12987
"state";12904
"history";12623
"will";12560
"city";12275
"english";11868
"made";11701
"well";11537
"e";11426
"number";11399
"government";11323
"m";10976
"later";10971
"since";10691
"part";10627
"name";10572
"c";10561
"century";10550
"x";10307
"university";10195
"early";10172
"life";10096
"british";10056
"year";9858
"like";9854
"including";9633
"became";9591
"example";9539
"day";9534
"even";9412
"work";9388
"language";9375
"although";9286
"several";9168
"form";9133
"john";8956
"u";8928
"national";8904
"much";8822
"g";8773
"french";8736
"general";8659
"t";8491
"n";8372
"high";8337
"links";8312
"based";8244
"now";8206
"second";8110
"de";8002
"music";7987
"another";7933
"large";7898
"f";7878
"external";7862
"german";7858
"different";7797
"modern";7790
"great";7770
"common";7698
"set";7682
"list";7672
"south";7628
"series";7611
"major";7585
"game";7553
"power";7522
"long";7488
"country";7481
"king";7456
"law";7435
"group";7417
"film";7400
"still";7378
"north";7328
"international";7262
"term";7219
"end";7113
"book";7110
"found";7043
"political";6970
"party";6943
"order";6908
"usually";6872
"president";6865
"church";6786
"death";6684
"theory";6604
"area";6591
"around";6576
"include";6531
"god";6518
"ii";6494
"way";6433
"military";6410
"population";6400
"using";6384
"though";6362
"small";6361
"following";6300
"within";6238
"non";6220
"human";6184
"left";6184
"main";6166
"among";6146
"point";6141
"r";6064
"due";6056
"p";6001
"considered";5985
"public";5976
"popular";5967
"computer";5874
"west";5862
"family";5857
"east";5854
"information";5844
"important";5843
"european";5806
"man";5778
"sometimes";5761
"right";5758
"old";5711
"free";5684
"word";5678
"without";5661
"last";5654
"us";5652
"members";5634
"given";5605
"times";5582
"roman";5468
"make";5450
"h";5404
"age";5350
"place";5345
"l";5343
"thus";5319
"science";5314
"case";5289
"become";5268
"systems";5262
"union";5248
"born";5246
"york";5243
"line";5236
"countries";5231
"isbn";5216
"st";5207
"control";5196
"various";5163
"others";5160
"house";5157
"article";5143
"island";5124
"led";5108
"back";5105
"period";5099
"player";5096
"europe";5094
"languages";5087
"central";5070
"water";5025
"western";5010
"home";5007
"began";5004
"generally";4979
"less";4974
"k";4970
"similar";4939
"written";4916
"original";4910
"best";4902
"must";4898
"according";4884
"school";4872
"france";4813
"air";4802
"single";4801
"force";4776
"v";4762
"land";4755
"groups";4731
"works";4724
"development";4721
"official";4720
"support";4686
"england";4641
"j";4612
"rather";4605
"data";4586
"space";4586
"greek";4577
"km";4574
"named";4551
"germany";4539
"just";4528
"games";4527
"said";4483
"version";4472
"late";4471
"earth";4457
"company";4448
"every";4446
"economic";4435
"short";4433
"published";4430
"black";4429
"army";4418
"london";4399
"million";4386
"body";4383
"field";4352
"christian";4347
"either";4330
"empire";4307
"social";4307
"o";4299
"developed";4270
"standard";4269
"court";4268
"service";4260
"kingdom";4257
"along";4241
"college";4236
"republic";4231
"sea";4212
"america";4202
"today";4198
"result";4193
"held";4178
"team";4176
"light";4172
"means";4165
"never";4127
"especially";4125
"third";4121
"character";4114
"forces";4114
"take";4105
"men";4078
"society";4067
"show";4064
"open";4063
"possible";4051
"fact";4042
"battle";4034
"took";4013
"former";4007
"books";3992
"soviet";3985
"river";3984
"children";3978
"good";3962
"local";3960
"current";3955
"son";3955
"process";3949
"natural";3947
"present";3922
"islands";3903
"total";3891
"near";3874
"white";3866
"days";3863
"person";3855
"seen";3831
"culture";3809
"little";3805
"software";3773
"largest";3772
"words";3771
"upon";3768
"level";3767
"father";3762
"created";3760
"side";3760
"red";3755
"references";3747
"press";3745
"full";3734
"region";3726
"almost";3717
"al";3714
"image";3714
"famous";3708
"play";3702
"came";3698
"role";3691
"certain";3675
"league";3663
"jewish";3662
"james";3653
"january";3650
"site";3639
"art";3611
"numbers";3611
"member";3601
"areas";3599
"movement";3595
"religious";3588
"type";3588
"march";3583
"community";3581
"story";3573
"played";3572
"production";3570
"released";3555
"center";3548
"rights";3546
"real";3545
"related";3536
"foreign";3528
"low";3524
"ancient";3523
"terms";3519
"view";3519
"source";3503
"act";3502
"minister";3493
"change";3483
"energy";3464
"produced";3457
"research";3452
"actor";3451
"making";3448
"civil";3443
"december";3443
"women";3442
"special";3441
"style";3438
"design";3437
"japanese";3437
"william";3437
"available";3435
"chinese";3430
"forms";3429
"canada";3428
"northern";3423
"died";3418
"class";3412
